                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0876,                 3.1036,                 1.5903,                 0.0202,                0.12903,                0.04218,                0.01201,                  3.212,                 3.1706,                 1.8168,             0.00054244,             0.00054244,             0.00054244
                      2,                  2.854,                 2.2853,                 1.3932,                0.14836,                0.09228,                0.07034,                0.02151,                  2.992,                 2.5524,                 1.5154,              0.0010872,              0.0010872,              0.0010872
                      3,                 2.8281,                 2.2553,                 1.3911,                0.61116,                0.10578,                 0.0576,                  0.018,                 3.0171,                 2.6295,                 1.5835,               0.001621,               0.001621,               0.001621
                      4,                   2.75,                 2.1393,                 1.3517,                0.62923,                 0.1102,                 0.0801,                0.02515,                 2.8541,                 2.5558,                 1.4553,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.7113,                 2.0978,                 1.3534,                 0.6346,                0.13946,                0.09058,                0.02759,                 2.8223,                 2.2733,                 1.4806,               0.001601,               0.001601,               0.001601
                      6,                 2.7181,                 2.0709,                 1.3426,                0.65902,                0.13844,                0.09852,                0.02795,                 2.7955,                 2.2523,                 1.4023,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.6249,                 2.0208,                 1.3392,                0.67112,                 0.1483,                0.10979,                0.03511,                 2.7517,                 2.1858,                 1.3906,               0.001568,               0.001568,               0.001568
                      8,                 2.6778,                 2.0374,                 1.3277,                0.65839,                0.13095,                0.09843,                0.02762,                 2.9002,                 2.3161,                 1.4711,              0.0015515,              0.0015515,              0.0015515
                      9,                  2.639,                 1.9965,                  1.308,                 0.1656,                0.14762,                0.11253,                0.03584,                 2.7279,                 2.2561,                 1.4042,               0.001535,               0.001535,               0.001535
                     10,                  2.612,                 1.9516,                 1.2973,                 0.6493,                0.14762,                0.09293,                0.02826,                  2.802,                 2.2171,                 1.4289,              0.0015185,              0.0015185,              0.0015185
                     11,                  2.611,                 1.9551,                 1.2794,                0.67822,                   0.15,                0.12422,                0.04064,                 2.6869,                 2.2025,                 1.3497,               0.001502,               0.001502,               0.001502
                     12,                 2.5926,                 1.9341,                 1.2609,                0.68375,                0.16973,                0.12581,                0.03882,                 2.6877,                 2.0531,                 1.3449,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.5773,                 1.9359,                 1.2938,                0.16223,                0.15476,                0.11056,                0.03202,                 2.7928,                 2.3103,                 1.3769,               0.001469,               0.001469,               0.001469
                     14,                 2.5732,                 1.8887,                 1.2926,                0.68434,                 0.1449,                0.13241,                0.04564,                 2.6842,                 2.1377,                 1.3744,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.5556,                 1.8636,                 1.2523,                 0.6795,                0.16088,                0.12567,                0.03994,                 2.6857,                 2.1428,                 1.3513,               0.001436,               0.001436,               0.001436
                     16,                 2.5818,                 1.9015,                 1.2864,                0.67129,                0.17313,                0.12961,                0.04101,                 2.7027,                  2.085,                 1.3498,              0.0014195,              0.0014195,              0.0014195
                     17,                  2.545,                 1.9151,                 1.2947,                0.66749,                0.15646,                0.11204,                 0.0353,                 2.7115,                 2.1599,                  1.375,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.5444,                 1.8937,                 1.2811,                0.66873,                0.16395,                0.11894,                0.03771,                 2.7367,                 2.1164,                 1.3911,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.5395,                 1.8917,                 1.2773,                0.68105,                0.16599,                 0.1365,                0.04569,                  2.646,                 2.0435,                 1.3185,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.5175,                 1.8325,                 1.2734,                0.20192,                0.15884,                  0.145,                0.04917,                  2.684,                 2.2758,                 1.3642,              0.0013534,              0.0013534,              0.0013534
                     21,                 2.5309,                 1.8574,                 1.2655,                0.67845,                0.17109,                0.11899,                0.03595,                 2.7067,                 2.0871,                 1.3471,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.5361,                 1.8554,                 1.2787,                0.67538,                0.16327,                0.12834,                0.03873,                 2.7018,                 2.0747,                 1.3173,              0.0013204,              0.0013204,              0.0013204
                     23,                 2.5278,                 1.8415,                 1.2596,                0.69161,                0.17517,                0.14629,                0.04669,                 2.6528,                 2.0501,                 1.3188,              0.0013039,              0.0013039,              0.0013039
                     24,                 2.5101,                 1.8326,                 1.2646,                0.69194,                0.16224,                0.12639,                0.03956,                 2.7334,                 1.9957,                  1.398,              0.0012874,              0.0012874,              0.0012874
                     25,                 2.4854,                 1.8339,                 1.2704,                 0.6836,                0.17415,                0.13728,                0.04182,                 2.6854,                 2.0002,                 1.3598,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.4773,                 1.7798,                 1.2468,                 0.4116,                0.18496,                0.14168,                0.04459,                 2.6639,                 1.9724,                  1.348,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.5061,                 1.8131,                 1.2696,                0.67845,                0.17687,                0.13865,                0.04593,                 2.6875,                 1.9772,                 1.3619,              0.0012379,              0.0012379,              0.0012379
                     28,                 2.4867,                 1.8355,                 1.2475,                0.71077,                0.18027,                0.15891,                 0.0513,                  2.596,                 2.0374,                 1.3337,              0.0012214,              0.0012214,              0.0012214
                     29,                 2.4469,                 1.7556,                 1.2359,                0.37262,                0.18061,                  0.149,                0.04798,                 2.6696,                  1.955,                 1.3546,              0.0012049,              0.0012049,              0.0012049
                     30,                 2.4662,                 1.7976,                 1.2572,                0.42912,                0.17171,                0.13273,                0.04237,                 2.6815,                 1.9282,                 1.3558,              0.0011884,              0.0011884,              0.0011884
                     31,                 2.4889,                 1.7978,                 1.2625,                0.68163,                0.19592,                0.13166,                0.04243,                 2.6678,                 2.1498,                 1.3914,              0.0011719,              0.0011719,              0.0011719
                     32,                 2.4695,                 1.7622,                 1.2354,                0.72774,                0.16565,                0.15498,                0.05041,                 2.6437,                 1.9712,                 1.3233,              0.0011554,              0.0011554,              0.0011554
                     33,                 2.4391,                 1.7445,                 1.2521,                0.17585,                0.16973,                 0.1394,                0.04656,                 2.6758,                 1.9574,                  1.374,              0.0011389,              0.0011389,              0.0011389
                     34,                 2.4095,                  1.704,                  1.222,                0.29683,                 0.1911,                 0.1516,                0.04872,                 2.6532,                 1.9318,                 1.3558,              0.0011224,              0.0011224,              0.0011224
